客户等级,主叫次数,被叫次数,通话时长,费用,流失
2,0.974227518,1.199053283,0.721156744,0.910903669,0
1,0.793184797,0.753681885,1.022523534,1.470969906,0
2,1.326781327,1.014457241,1.225783939,0.732907764,0
2,1.125351672,1.03132162,0.885191288,0.606056909,0
2,0.897445124,1.001525659,0.822113483,0.870096423,0
1,1.441130298,1.141686183,1.109571762,1.03786055,0
1,2.101960784,1.775903615,1.58220704,1.081622,0
1,1.082474227,1.199652275,1.323940664,0.928026617,0
1,0.597402597,1.118317266,1.003286197,0.890145514,0
1,0.436578171,0.622429907,0.397145905,0.482389392,0
2,1.0104314,1.107101853,1.032195965,0.997672771,0
2,1.463450292,1.609460946,2.316593715,2.436629248,0
1,1.00871731,1.150241409,0.97911966,0.858822209,0
2,1.28499238,1.048317515,1.219750064,1.111473741,0
1,1.399371069,1.449874687,1.456160497,1.4469002,0
2,0.241230867,0.27569242,0.427415878,0.323855478,0
2,0.812030075,0.649748414,0.661257092,1.296457957,0
1,1.785103785,0.648049645,0.813176704,0.945364257,0
2,1.433472188,0.877293578,1.167862757,0.020490137,0
2,0.959865282,0.992829564,0.617968922,0.533815884,0
3,1.392174704,1.061598952,1.133644929,1.599025974,0
2,1.352764345,0.989010989,1.299592448,1.188642649,0
